sample_id,building_id,damage_level,split
3_0286_001,B101,3,train
3_0286_002,B098,5,test
3_0286_003,B095,1,train
3_0286_004,B096,3,train
3_0286_005,B102,1,train
3_0286_006,B099,1,train
3_0309_000,B094,1,val
3_0309_001,B096,3,train
3_0309_002,B103,1,train
3_0312_000,B094,1,val
3_0312_001,B096,3,train
3_0312_002,B104,4,test
3_0312_003,B105,5,train
3_0312_004,B095,1,train
3_0312_005,B098,4,test
3_0312_006,B103,1,train
3_0315_000,B094,1,val
3_0315_001,B096,3,train
3_0315_002,B098,5,test
3_0315_003,B095,1,train
3_0315_004,B105,5,train
3_0315_005,B102,1,train
3_0315_006,B103,1,train
3_0315_007,B099,1,train
3_0318_000,B094,1,val
3_0318_001,B096,3,train
3_0318_002,B098,5,test
3_0318_003,B095,1,train
3_0318_004,B099,1,train
3_0341_000,B094,1,val
3_0341_001,B096,3,train
3_0341_002,B098,5,test
3_0344_000,B107,0,train
3_0344_001,B108,1,test
3_0344_002,B109,2,test
3_0344_003,B110,3,train
3_0344_004,B101,4,train
3_0344_005,B105,5,train
3_0344_006,B111,1,train
3_0344_007,B096,2,train
3_0344_008,B112,3,test
3_0344_009,B104,4,test
3_0344_010,B113,1,train
3_0344_011,B100,3,train
3_0344_012,B098,4,test
3_0344_013,B106,3,train
3_0344_014,B094,1,val
3_0344_015,B095,1,train
3_0344_016,B103,1,train
3_0347_000,B094,1,val
3_0347_001,B096,3,train
3_0347_002,B101,4,train
3_0347_003,B098,5,test
3_0347_004,B094,1,val
3_0347_005,B104,4,test
3_0350_000,B094,1,val
3_0350_001,B101,3,train
3_0350_002,B114,4,train
3_0350_003,B098,5,test
3_0350_004,B095,1,train
3_0350_005,B096,3,train
3_0350_006,B099,1,train
3_0373_000,B115,0,train
3_0373_001,B095,1,train
3_0373_002,B098,5,test
3_0376_000,B115,0,train
3_0376_001,B095,1,train
3_0376_002,B106,2,train
3_0376_003,B101,3,train
3_0376_004,B114,4,train
3_0376_005,B105,5,train
3_0376_006,B098,4,test
3_0379_000,B115,0,train
3_0379_001,B095,1,train
3_0379_002,B106,3,train
3_0379_003,B101,4,train
3_0379_004,B098,5,test
3_0382_000,B115,0,train
3_0382_001,B095,1,train
3_0382_002,B101,3,train
3_0382_003,B114,4,train
3_0382_004,B098,5,test
3_0382_005,B106,3,train
3_0405_000,B115,1,train
3_0405_001,B095,4,train
3_0405_002,B098,5,test
3_0405_003,B106,4,train
3_0408_000,B115,1,train
3_0408_001,B116,2,val
3_0408_002,B101,3,train
3_0408_003,B114,4,train
3_0408_004,B098,4,test
3_0411_000,B115,1,train
3_0411_001,B101,4,train
3_0411_002,B098,5,test
3_0411_003,B106,4,train
3_0414_000,B116,1,val
3_0414_001,B101,4,train
3_0414_002,B098,5,test
3_0414_003,B106,4,train
3_0437_000,B107,0,train
3_0437_001,B109,3,test
3_0437_002,B108,4,test
3_0437_003,B112,3,test
3_0437_004,B114,4,train
3_0437_005,B101,4,train
3_0437_006,B106,4,train
3_0440_000,B107,0,train
3_0440_001,B109,3,test
3_0440_002,B108,4,test
3_0440_003,B112,3,test
3_0440_004,B114,4,train
3_0440_005,B106,4,train
3_0443_000,B113,1,train
3_0443_001,B109,3,test
3_0443_002,B114,4,train
3_0443_003,B108,5,test
3_0443_004,B112,3,test
3_0443_005,B106,4,train
3_0446_000,B107,0,train
3_0446_001,B113,1,train
3_0446_002,B109,3,test
3_0446_003,B108,4,test
3_0446_004,B112,3,test
3_0446_005,B114,4,train
3_0446_006,B106,4,train
3_0469_000,B111,1,train
3_0469_001,B109,3,test
3_0469_002,B110,4,train
3_0469_003,B112,1,test
3_0469_004,B112,3,test
3_0469_005,B108,4,test
3_0469_006,B114,4,train
3_0472_000,B109,3,test
3_0472_001,B108,4,test
3_0472_002,B112,3,test
3_0475_000,B111,1,train
3_0475_001,B110,3,train
3_0475_002,B108,4,test
3_0475_003,B112,1,test
3_0475_004,B109,3,test
3_0475_005,B112,4,test
3_0475_006,B114,4,train
3_0478_000,B111,1,train
3_0478_001,B110,3,train
3_0478_002,B109,4,test
3_0478_003,B112,1,test
3_0478_004,B114,3,train
3_0478_005,B112,4,test
3_0481_000,B111,0,train
3_0481_001,B112,1,test
3_0481_002,B117,3,train
3_0481_003,B108,4,test
3_0481_004,B110,3,train
3_0481_005,B109,3,test
3_0501_000,B118,0,train
3_0501_001,B118,2,train
3_0501_002,B119,3,train
3_0501_003,B120,4,train
3_0501_004,B121,5,val
3_0501_005,B107,0,train
3_0501_006,B122,3,train
3_0501_007,B123,4,train
3_0501_008,B117,3,train
3_0501_009,B124,3,test
3_0501_010,B110,4,train
3_0501_011,B108,4,test
3_0504_000,B118,0,train
3_0504_001,B119,3,train
3_0504_002,B123,4,train
3_0504_003,B121,5,val
3_0504_004,B107,0,train
3_0504_005,B122,3,train
3_0504_006,B120,4,train
3_0504_007,B118,3,train
3_0504_008,B124,3,test
3_0504_009,B117,4,train
3_0504_010,B125,4,val
3_0504_011,B110,4,train
3_0504_012,B108,4,test
3_0507_000,B126,0,train
3_0507_001,B119,1,train
3_0507_002,B122,2,train
3_0507_003,B117,3,train
3_0507_004,B123,4,train
3_0507_005,B121,5,val
3_0507_006,B118,0,train
3_0507_007,B127,1,train
3_0507_008,B124,3,test
3_0507_009,B120,4,train
3_0507_010,B107,0,train
3_0507_011,B110,3,train
3_0507_012,B108,4,test
3_0510_000,B107,0,train
3_0510_001,B127,2,train
3_0510_002,B117,3,train
3_0510_003,B108,4,test
3_0510_004,B121,5,val
3_0510_005,B124,3,test
3_0513_000,B107,0,train
3_0513_001,B127,2,train
3_0513_002,B119,3,train
3_0513_003,B123,4,train
3_0513_004,B121,5,val
3_0513_005,B122,3,train
3_0513_006,B120,4,train
3_0513_007,B117,3,train
3_0513_008,B108,4,test
3_0513_009,B124,3,test
3_0533_000,B118,0,train
3_0533_001,B128,2,train
3_0533_002,B129,3,val
3_0533_003,B120,4,train
3_0533_004,B119,2,train
3_0533_005,B123,3,train
3_0533_006,B127,2,train
3_0533_007,B122,3,train
3_0533_008,B118,2,train
3_0533_009,B124,3,test
3_0536_000,B128,2,train
3_0536_001,B129,3,val
3_0536_002,B123,4,train
3_0536_003,B127,2,train
3_0536_004,B119,3,train
3_0536_005,B120,4,train
3_0536_006,B130,3,test
3_0536_007,B123,3,train
3_0536_008,B122,3,train
3_0536_009,B124,3,test
3_0539_000,B128,1,train
3_0539_001,B122,2,train
3_0539_002,B119,3,train
3_0539_003,B123,4,train
3_0539_004,B127,1,train
3_0539_005,B130,3,test
3_0539_006,B123,3,train
3_0542_000,B128,0,train
3_0542_001,B128,2,train
3_0542_002,B129,3,val
3_0542_003,B119,2,train
3_0542_004,B130,3,test
3_0542_005,B123,3,train
3_0542_006,B123,4,train
3_0542_007,B122,3,train
3_0545_000,B128,2,train
3_0545_001,B119,3,train
3_0545_002,B131,4,train
3_0545_003,B132,5,train
3_0545_004,B127,2,train
3_0545_005,B130,3,test
3_0545_006,B123,4,train
3_0545_007,B123,3,train
3_0545_008,B122,3,train
3_0568_000,B133,1,train
3_0568_001,B134,3,train
3_0568_002,B135,4,train
3_0568_003,B136,5,train
3_0568_004,B128,1,train
3_0568_005,B131,4,train
3_0571_000,B134,4,train
3_0571_001,B132,5,train
3_0571_002,B131,4,train
3_0577_000,B132,3,train
3_0577_001,B134,4,train
3_0577_002,B132,5,train
3_0577_003,B131,4,train
3_0597_000,B136,4,train
3_0597_001,B132,5,train
3_0597_002,B134,4,train
3_0600_000,B137,0,train
3_0600_001,B138,2,train
3_0600_002,B139,4,train
3_0600_003,B140,5,test
3_0600_004,B136,4,train
3_0600_005,B134,4,train
3_0603_000,B136,4,train
3_0609_000,B137,0,train
3_0609_001,B138,1,train
3_0609_002,B141,3,train
3_0609_003,B139,4,train
3_0609_004,B142,1,test
3_0629_000,B137,1,train
3_0629_001,B138,2,train
3_0629_002,B142,3,test
3_0629_003,B141,4,train
3_0632_000,B137,1,train
3_0632_001,B138,2,train
3_0632_002,B143,3,test
3_0632_003,B144,4,train
3_0632_004,B141,5,train
3_0632_005,B142,3,test
3_0632_006,B139,4,train
3_0635_000,B141,5,train
3_0638_000,B137,1,train
3_0638_001,B143,2,test
3_0638_002,B145,3,val
3_0638_003,B144,4,train
3_0638_004,B138,2,train
3_0638_005,B142,3,test
3_0641_000,B138,2,train
3_0641_001,B145,3,val
3_0641_002,B144,4,train
3_0641_003,B137,2,train
3_0641_004,B142,3,test
3_0661_000,B137,1,train
3_0661_001,B138,2,train
3_0661_002,B145,3,val
3_0661_003,B144,4,train
3_0661_004,B142,3,test
3_0664_000,B137,1,train
3_0664_001,B145,3,val
3_0664_002,B138,3,train
3_0664_003,B144,4,train
3_0664_004,B142,3,test
3_0667_000,B137,1,train
3_0667_001,B138,2,train
3_0667_002,B145,3,val
3_0667_003,B144,4,train
3_0667_004,B142,3,test
3_0670_000,B137,1,train
3_0670_001,B138,2,train
3_0670_002,B145,3,val
3_0670_003,B144,4,train
3_0670_004,B143,2,test
3_0670_005,B142,3,test
3_0673_000,B137,1,train
3_0673_001,B138,2,train
3_0673_002,B145,3,val
3_0673_003,B144,4,train
3_0673_004,B142,3,test
3_0693_000,B137,1,train
3_0693_001,B145,3,val
3_0693_002,B144,4,train
3_0693_003,B142,3,test
3_0696_000,B137,1,train
3_0696_001,B145,3,val
3_0696_002,B144,4,train
3_0696_003,B142,3,test
3_0699_000,B137,1,train
3_0699_001,B145,3,val
3_0699_002,B144,4,train
3_0699_003,B142,3,test
3_0702_000,B137,1,train
3_0702_001,B145,3,val
3_0702_002,B142,3,test
3_0702_003,B144,4,train
3_0705_000,B137,1,train
3_0705_001,B145,3,val
3_0705_002,B144,4,train
3_0705_003,B142,3,test
3_0725_000,B137,1,train
3_0725_001,B145,3,val
3_0725_002,B144,4,train
3_0725_003,B142,3,test
3_0728_000,B137,1,train
3_0728_001,B145,3,val
3_0728_002,B144,4,train
3_0728_003,B142,3,test
3_0731_000,B137,1,train
3_0731_001,B145,3,val
3_0731_002,B144,4,train
3_0731_003,B142,3,test
3_0734_000,B137,1,train
3_0734_001,B145,3,val
3_0734_002,B144,4,train
3_0734_003,B146,3,test
3_0734_004,B142,3,test
3_0757_000,B137,1,train
3_0757_001,B145,3,val
3_0757_002,B144,4,train
3_0757_003,B142,3,test
3_0760_000,B137,1,train
3_0760_001,B145,3,val
3_0760_002,B146,3,test
3_0760_003,B144,4,train
3_0760_004,B142,3,test
3_0763_000,B137,1,train
3_0763_001,B145,3,val
3_0763_002,B144,4,train
3_0763_003,B142,3,test
3_0766_000,B137,1,train
3_0766_001,B145,3,val
3_0766_002,B144,4,train
3_0766_003,B146,3,test
3_0766_004,B142,3,test
3_0789_000,B137,1,train
3_0789_001,B146,2,test
3_0789_002,B145,3,val
3_0789_003,B144,4,train
3_0789_004,B142,3,test
3_0792_000,B137,1,train
3_0792_001,B145,3,val
3_0792_002,B144,4,train
3_0792_003,B146,3,test
3_0792_004,B142,3,test
3_0795_000,B137,1,train
3_0795_001,B145,3,val
3_0795_002,B144,4,train
3_0795_003,B142,3,test
3_0798_000,B137,1,train
3_0798_001,B145,3,val
3_0798_002,B144,4,train
3_0798_003,B146,3,test
3_0798_004,B142,3,test
3_0821_000,B137,1,train
3_0821_001,B145,3,val
3_0821_002,B144,4,train
3_0821_003,B142,3,test
3_0824_000,B137,2,train
3_0824_001,B145,3,val
3_0824_002,B144,4,train
3_0824_003,B146,3,test
3_0824_004,B142,3,test
3_0827_000,B137,2,train
3_0827_001,B145,3,val
3_0827_002,B144,4,train
3_0827_003,B142,3,test
3_0830_000,B137,2,train
3_0830_001,B145,3,val
3_0830_002,B144,4,train
3_0830_003,B142,3,test
3_0853_000,B145,1,val
3_0853_001,B142,3,test
3_0853_002,B144,4,train
3_0853_003,B138,1,train
3_0856_000,B137,2,train
3_0856_001,B145,3,val
3_0856_002,B144,4,train
3_0856_003,B138,2,train
3_0856_004,B147,3,train
3_0856_005,B142,3,test
3_0859_000,B138,2,train
3_0859_001,B145,3,val
3_0859_002,B144,4,train
3_0859_003,B147,3,train
3_0859_004,B142,3,test
3_0862_000,B144,3,train
3_0862_001,B144,4,train
3_0862_002,B142,3,test
3_0885_000,B137,2,train
3_0885_001,B143,3,test
3_0885_002,B144,4,train
3_0885_003,B137,3,train
3_0885_004,B142,3,test
3_0885_005,B138,3,train
3_0888_000,B147,2,train
3_0888_001,B145,3,val
3_0888_002,B144,4,train
3_0888_003,B137,2,train
3_0888_004,B142,3,test
3_0888_005,B146,2,test
3_0888_006,B138,3,train
3_0891_000,B137,2,train
3_0891_001,B145,3,val
3_0891_002,B138,2,train
3_0891_003,B142,3,test
3_0891_004,B144,4,train
3_0894_000,B137,2,train
3_0894_001,B145,3,val
3_0894_002,B144,4,train
3_0894_003,B142,3,test
